id,price,price_m,area,room,year,loc,url,offer,seller,addons,market,floor,floor_count,seller_type,base_year
ID4kwl6,395000,13845,28.53,2,2023,"Wrocław, Szczepin, ul. Długa",https://www.otodom.pl/pl/oferta/ID4kwl6,Kawalerka lub 2-pok Centrum Tramwaj Co miejskie,OTO NIERUCHOMOŚCI,oddzielna kuchnia,pierwotny,1,8,Biuro nieruchomości,2023
ID4kwsS,446000,10372,43.0,2,2022,"Wrocław, Oporów, ul. Jordanowska",https://www.otodom.pl/pl/oferta/ID4kwsS,Wróciło| Już Klucze| Umów się pierwszy!,Od Deweloperów,brak informacji,pierwotny,3,3,Biuro nieruchomości,2023
ID4kwkV,320000,13223,24.2,1,2004,"Krzyki, Wrocław, Wrocław",https://www.otodom.pl/pl/oferta/ID4kwkV,Kawalerka - blisko Uniwersytetu Ekonomicznego,Traczyk Nieruchomości,brak informacji,wtórny,10,11,Biuro nieruchomości,2023
ID4kwcO,879000,12121,72.52,3,2024,"Wrocław, Osobowice, ul. Jarocińska",https://www.otodom.pl/pl/oferta/ID4kwcO,"Apartament E2 o powierzchni 72,52 m2 + 2x balkon",MT Project Sp. z o.o.,brak informacji,pierwotny,1,2,Deweloper,2023
ID4kwcD,679000,12413,54.7,2,2024,"Wrocław, Osobowice, ul. Jarocińska",https://www.otodom.pl/pl/oferta/ID4kwcD,"Apartament D2 o powierzchni 54,70 m2 + balkon",MT Project Sp. z o.o.,brak informacji,pierwotny,1,2,Deweloper,2023
ID4kwcF,735000,17500,42.0,2,0,"Wrocław, Stare Miasto, ul. Krawiecka",https://www.otodom.pl/pl/oferta/ID4kwcF,inwestycja centrum ul. Krawiecka studio,Oferta Prywatna,brak informacji,wtórny,4,6,Oferta Prywatna,2023
ID4kwpo,505468,9402,53.76,2,2022,"Wrocław, Wrocław, dolnośląskie",https://www.otodom.pl/pl/oferta/ID4kwpo,"Mieszkanie 53,76M2/2 Pokoje/Gotowe",RENOMAHOME,brak informacji,pierwotny,parter,3,Biuro nieruchomości,2023
ID4kwl9,923950,10043,92.0,4,2024,"Jagodno, Wrocław, Wrocław",https://www.otodom.pl/pl/oferta/ID4kwl9,Pompa ciepła|zmiany lokatorskie|własny ogródek,OTO NIERUCHOMOŚCI,oddzielna kuchnia,pierwotny,parter,1,Biuro nieruchomości,2023
ID4kwyP,917500,11993,76.5,3,2024,"Ołbin, Wrocław, Wrocław",https://www.otodom.pl/pl/oferta/ID4kwyP,Pod Inwestycje/Mozliwość Wydzielenia 2 Mieszkań,OTO NIERUCHOMOŚCI,brak informacji,pierwotny,1,4,Biuro nieruchomości,2023
ID4kwkn,410000,8817,46.5,3,2008,"Wrocław, Księże Wielkie, ul. Opolska",https://www.otodom.pl/pl/oferta/ID4kwkn,2008 | Taras| Miejsce postojowe | Tramwaj,A.M. NIERUCHOMOŚCI IZABELA MATEUSZUK,brak informacji,wtórny,parter,3,Biuro nieruchomości,2023
ID4kwwh,1479000,13190,112.13,4,2023,"Wrocław, Stare Miasto, ul. Gnieźnieńska",https://www.otodom.pl/pl/oferta/ID4kwwh,Apartament z tarasem oraz loggiom Stare Miasto,A.M. NIERUCHOMOŚCI IZABELA MATEUSZUK,brak informacji,pierwotny,8,9,Biuro nieruchomości,2023
ID4kwuZ,549000,8578,64.0,3,1992,"Wrocław, Muchobór Wielki, ul. Marii Rodziewiczówny",https://www.otodom.pl/pl/oferta/ID4kwuZ,3 pokoje w rozkładzie Muchobór Wielki!!,SPRAWDZONY POŚREDNIK NIERUCHOMOŚCI,oddzielna kuchnia,wtórny,4,4,Biuro nieruchomości,2023
ID4kwan,584000,12641,46.2,2,2023,"Wrocław, Centrum, wyspa Kępa Mieszczańska",https://www.otodom.pl/pl/oferta/ID4kwan,2-pokoje Rozkład Duży balkon Kępa Mieszczańska,OTO NIERUCHOMOŚCI,brak informacji,pierwotny,1,6,Biuro nieruchomości,2023
ID4kwpq,522215,9500,54.97,3,2022,"Maślice, Wrocław, Wrocław",https://www.otodom.pl/pl/oferta/ID4kwpq,!!!Gotowe Do Odbioru!!!,RENOMAHOME,brak informacji,pierwotny,1,2,Biuro nieruchomości,2023
ID4kwdC,449000,12939,34.7,1,2024,"Wrocław, Osobowice, ul. Jarocińska",https://www.otodom.pl/pl/oferta/ID4kwdC,"Apartament F2 o powierzchni 34,70 m2 + taras",MT Project Sp. z o.o.,brak informacji,pierwotny,1,2,Deweloper,2023
ID4k2F5,659000,9282,71.0,4,0,"Centrum, Wrocław, Wrocław",https://www.otodom.pl/pl/oferta/ID4k2F5,3M + kawalerka |Wynajęte| HIT| ROI 12%|HIT,Globfinanse,brak informacji,wtórny,5,5,Biuro nieruchomości,2023
ID4kwsd,418000,10746,38.9,2,1970,"Wrocław, Szczepin, ul. Szczepińska",https://www.otodom.pl/pl/oferta/ID4kwsd,=Inwestycyjne M2 =Doskonała lokalizacja=Szczepin=,WRE NIERUCHOMOŚCI SP.Z O.O.,brak informacji,wtórny,10,11,Biuro nieruchomości,2023
ID4kwfu,520000,7879,66.0,2,1920,"Wrocław, Plac Grunwaldzki, ul. Nowowiejska",https://www.otodom.pl/pl/oferta/ID4kwfu,"Balkon, przy parku - Bez prowizji!",BiuroSWN,piwnica,wtórny,3,4,Biuro nieruchomości,2023
ID4kwjj,928000,15065,61.6,3,2015,"Wrocław, Krzyki, ul. Racławicka",https://www.otodom.pl/pl/oferta/ID4kwjj,3-pokoje w prestiżowej inwestycji przy parku.,SDP Nieruchomości,brak informacji,wtórny,1,4,Biuro nieruchomości,2023
ID4kwmE,865000,12721,68.0,3,2016,"Wrocław, Krzyki, ul. Przyjaźni",https://www.otodom.pl/pl/oferta/ID4kwmE,Dla rodziny | Komórka | Parking,WRE NIERUCHOMOŚCI SP.Z O.O.,pom. użytkowe,wtórny,parter,3,Biuro nieruchomości,2023
ID4kwvZ,543000,8484,64.0,4,1979,"Szczepin, Wrocław, Wrocław",https://www.otodom.pl/pl/oferta/ID4kwvZ,Ul Słubicka/64m2/4pokoje/Do remontu/Loggia/Piwnica,Fuks Nieruchomości,"piwnica, oddzielna kuchnia, pom. użytkowe",wtórny,3,4,Biuro nieruchomości,2023
ID4kwar,735000,12458,59.0,3,2024,"Wrocław, Centrum, wyspa Kępa Mieszczańska",https://www.otodom.pl/pl/oferta/ID4kwar,Duże przeszklenia Dwa balkony Kępa Mieszczańska,OTO NIERUCHOMOŚCI,brak informacji,pierwotny,1,6,Biuro nieruchomości,2023
ID4kweP,529999,11277,47.0,3,1980,"Wrocław, Wrocław, dolnośląskie",https://www.otodom.pl/pl/oferta/ID4kweP,Lux 3 Pokoje premium/ 47m2 Fat Loggia !,Open Home Group,oddzielna kuchnia,wtórny,10,8,Biuro nieruchomości,2023
ID4kwaq,424900,14163,30.0,1,2024,"Wrocław, Centrum, wyspa Kępa Mieszczańska",https://www.otodom.pl/pl/oferta/ID4kwaq,Przestronna kawalerka w samym centrum Bez prowizji,OTO NIERUCHOMOŚCI,brak informacji,pierwotny,parter,6,Biuro nieruchomości,2023
ID4kwvl,589000,11375,51.78,3,2014,"Wrocław, Jagodno, ul. Buforowa",https://www.otodom.pl/pl/oferta/ID4kwvl,Piękne mieszkanie 3 pokojowe/ umeblowane,SPRAWDZONY POŚREDNIK NIERUCHOMOŚCI,brak informacji,wtórny,parter,3,Biuro nieruchomości,2023
ID4kwu8,445000,10301,43.2,2,2023,"Stanisława Drabika (Wrocław-Krzyki) , Wrocław, Wrocław",https://www.otodom.pl/pl/oferta/ID4kwu8,Wróciło!| 2pok.+Garderoba| Szybki odbiór| Zadzwoń,Od Deweloperów,brak informacji,pierwotny,1,2,Biuro nieruchomości,2023
